"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","816","Verify clickability, href of links on the page","tests","Tue Mar 10 10:12:35 UTC 2026","passed","Tue Mar 10 10:12:36 UTC 2026","TestContributorsPage","contributors_page_test","",""
"","60","Verify values of titles and subtitles with tags h2, h4 on the page","tests","Tue Mar 10 10:27:45 UTC 2026","passed","Tue Mar 10 10:27:45 UTC 2026","TestStartUnauthorizedPage","start_unauthorized_page_test","",""
"","10156","Verify presence, visibility of lists on the page","tests","Tue Mar 10 10:13:36 UTC 2026","broken","Tue Mar 10 10:13:46 UTC 2026","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","40","Verify text in the 'All Specialists' link","tests","Tue Mar 10 10:27:05 UTC 2026","passed","Tue Mar 10 10:27:05 UTC 2026","TestSpecialistsPage","specialists_page_test","",""
"","6417","Verify if series links lead to correct pages after clicking","tests","Tue Mar 10 10:15:27 UTC 2026","passed","Tue Mar 10 10:15:33 UTC 2026","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","20789","Verify clickability, titles, href, status code of series links on the page","tests","Tue Mar 10 10:18:02 UTC 2026","passed","Tue Mar 10 10:18:23 UTC 2026","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","40","Verify values of title and subtitles with tags h2, h3 on the page","tests","Tue Mar 10 10:12:23 UTC 2026","passed","Tue Mar 10 10:12:23 UTC 2026","TestContributorsPage","contributors_page_test","",""
"","177","Verify presence, visibility of sections, the dividing line and elements with text on the page","tests","Tue Mar 10 10:11:35 UTC 2026","passed","Tue Mar 10 10:11:35 UTC 2026","TestContactsPage","contacts_page_test","",""
"","11048","Select a random card from ""Предложения"" group and compare UI vs BACKEND data.","tests","Tue Mar 10 10:29:59 UTC 2026","skipped","Tue Mar 10 10:30:10 UTC 2026","TestCardsRU","Речевые упражнения.","",""
"","25","Verify value of the 'en' subtitles on the page","tests","Tue Mar 10 10:20:44 UTC 2026","passed","Tue Mar 10 10:20:44 UTC 2026","TestGroupsPage","groups_page_test","",""
"","11151","Select a random card from ""Группа слов"" group and compare UI vs BACKEND data.","tests","Tue Mar 10 10:29:43 UTC 2026","skipped","Tue Mar 10 10:29:54 UTC 2026","TestCardsRU","Речевые упражнения.","",""
